state,bill_name,bill_summary,status,bill_url,lastAction_date,lastAction_main
MS,HB1348,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Online Voter Registration For First-time Voters; To Amend Sections 23-15-13, 23-15-35, 23-15-37, 23-15-39, 23-15-41 And 23-15-79, Mississippi Code Of 1972, To Conform To The Pro...",Fail,https://legiscan.com/MS/bill/HB1348/2019,2019-02-05,Died In Committee
MS,SB2917,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Online Voter Registration For First-time Voters; To Amend Sections 23-15-13, 23-15-35, 23-15-37, 23-15-39, 23-15-41 And 23-15-79, Mississippi Code Of 1972, To Conform To The Pro...",Fail,https://legiscan.com/MS/bill/SB2917/2019,2019-02-05,Died In Committee
CT,HB07192,To implement the Governor's budget recommendations.,Intro,https://legiscan.com/CT/bill/HB07192/2019,2019-04-17,File Number 688
MO,SJR13,Modifies provisions relating to members of the General Assembly,Intro,https://legiscan.com/MO/bill/SJR13/2019,2019-04-18,"Informal Calendar S Bills for Perfection--SJR 13-Holsman, with SCS, SS for SCS & SA 1 (pending)"
VA,SB1284,"County and city precincts; required to be wholly contained within election districts; waiver for administration of split precinct. Requires each county and city precinct to be wholly contained within a single congressional district, Senate district, ...",Intro,https://legiscan.com/VA/bill/SB1284/2019,2019-01-15,Incorporated by Privileges and Elections
KY,HB455,Amend KRS 5.005 to remove exclusive jurisdiction for legislative redistricting from Franklin Circuit.,Intro,https://legiscan.com/KY/bill/HB455/2019,2019-02-21,To House Judiciary Committee
TX,HR924,In memory of former state representative Paul Cruz Moreno.,Pass,https://legiscan.com/TX/bill/HR924/2019,2019-04-05,Reported enrolled
TX,HR201,"Recognizing February 26, 2019, as Texas NAACP Day at the State Capitol.",Pass,https://legiscan.com/TX/bill/HR201/2019,2019-02-27,Reported enrolled
MS,HB1003,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's Name Shall Be Placed On The General Election Ball...",Fail,https://legiscan.com/MS/bill/HB1003/2019,2019-02-05,Died In Committee
MS,HB1002,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's Name Shall Be Placed On The General Election Ball...",Fail,https://legiscan.com/MS/bill/HB1002/2019,2019-02-05,Died In Committee
CT,SB01049,"To (1) require the Secretary of the State to develop a system through which election-related forms can be signed electronically, (2) require the Secretary to develop an online system for the registration of circulators of absentee ballots, (3) requir...",Intro,https://legiscan.com/CT/bill/SB01049/2019,2019-04-12,Referred to Office of Legislative Research and Office of Fiscal Analysis 04/17/19 5:00 PM
AZ,SB1139,Redistricting; legislative district one,Engross,https://legiscan.com/AZ/bill/SB1139/2019,2019-03-21,House Committee of the Whole action: Do Pass
MS,HB1007,"An Act To Authorize Any Person Who Is Qualified To Register To Vote In The State Of Mississippi To Register To Vote When That Person Applies For The Issuance, Renewal Or Change Of Address Of A Motor Vehicle Driver's License Or Official Identification...",Fail,https://legiscan.com/MS/bill/HB1007/2019,2019-02-05,Died In Committee
MS,HB423,"An Act To Authorize Any Person Who Is Qualified To Register To Vote In The State Of Mississippi To Register To Vote When That Person Applies For The Issuance, Renewal Or Change Of Address Of A Motor Vehicle Driver's License Or Official Identification...",Fail,https://legiscan.com/MS/bill/HB423/2019,2019-02-05,Died In Committee
MS,HB639,"An Act To Authorize Any Person Who Is Qualified To Register To Vote In The State Of Mississippi To Register To Vote When That Person Applies For The Issuance, Renewal Or Change Of Address Of A Motor Vehicle Driver's License Or Official Identification...",Fail,https://legiscan.com/MS/bill/HB639/2019,2019-02-05,Died In Committee
MS,HB1234,"An Act To Authorize Any Person Who Is Qualified To Register To Vote In The State Of Mississippi To Register To Vote When That Person Applies For The Issuance, Renewal Or Change Of Address Of A Motor Vehicle Driver's License Or Official Identification...",Fail,https://legiscan.com/MS/bill/HB1234/2019,2019-02-05,Died In Committee
NC,S214,Ensure Orderly 2019 Elections,Pass,https://legiscan.com/NC/bill/S214/2019,2019-03-14,Ch. SL 2019-4
ND,1001,"A BILL for an Act to provide an appropriation for defraying the expenses of the legislative branch of state government; to provide for applications, transfers, and cancellation of unexpended appropriations; to amend and reenact sections 54-03-20 and ...",Engross,https://legiscan.com/ND/bill/1001/2019,2019-04-17,Returned to House (12)
SD,HB1133,Repeal certain provisions regarding the Legislature.,Intro,https://legiscan.com/SD/bill/HB1133/2019,2019-02-20,"State Affairs Deferred to the 41st legislative day, Passed, YEAS 9, NAYS 2. H.J. 446"
HI,SB1135,"Provides the Land Use Commission with the power to amend, revise, or modify a decision and order granting a district boundary amendment, or fine a petitioner, when there has been a finding by the Land Use Commission that a petitioner or its successor...",Engross,https://legiscan.com/HI/bill/SB1135/2019,2019-03-07,"To House Water, Land, & Hawaiian Affairs Committee"
NM,HB175,Regional Water Utility Authority Act,Intro,https://legiscan.com/NM/bill/HB175/2019,2019-03-09,Action Postponed Indefinitely
WI,SB59,"State finances and appropriations, constituting the executive budget act of the 2019 legislature.",Intro,https://legiscan.com/WI/bill/SB59/2019,2019-04-15,Public hearing held
WI,AB56,"State finances and appropriations, constituting the executive budget act of the 2019 legislature.",Intro,https://legiscan.com/WI/bill/AB56/2019,2019-04-15,Public hearing held by joint committee on Finance
